Month-Year,Product,Utility,Particulars,UOM,Bplan,Target,Actual,Bplan  Var %,Target  Var %,Plant
Jun-24,Towel,Water Utility,Processing Fabric Dyeing,Ltr/Kg,53.5,53.66,37.72,29.50%,29.71%,Vapi
Jun-24,Towel,Water Utility,Processing Yarn Dyeing,Ltr/Kg,53,53.66,68.38535263,-29.03%,-27.44%,Vapi
Jun-24,Towel,Steam,Sizing,KG/KG,1.77,1.77,1.733026074,2.09%,2.09%,Vapi
Jun-24,Towel,Steam,Processing Fabric Dyeing,KG/KG,5.5,5.99,5.91,-7.45%,1.34%,Vapi
Jun-24,Towel,Steam,Processing Yarn Dyeing,KG/KG,4,4,3.95,1.25%,1.25%,Vapi
Jun-24,Towel,Power,Weaving,KWH/KG,1.17,1.2,1.215779716,-3.91%,-1.31%,Vapi
Jun-24,Towel,Power,Weaving GIDC,KWH/KG,0.87,0.92,0.932055121,-7.13%,-1.31%,Vapi
Jun-24,Towel,Power,Processing,KWH/KG,0.94,0.94,1.01,-7.45%,-7.45%,Vapi
Jun-24,Towel,Air,Weaving,CFM,8900,8900,9555.933333,-7.37%,-7.37%,Vapi
Jun-24,Towel,Air,Processing,CFM,1000,1000,986.5666667,1.34%,1.34%,Vapi
Jun-24,Towel,Air,Cut & Sew-Chillers/ H Plant,CFM,350,350,360.6666667,-3.05%,-3.05%,Vapi
Jun-24,Rugs,Water Utility,Rugs Dyeing,Ltr/Kg,65.88,61.62,40.42166667,38.64%,34.40%,Vapi
Jun-24,Rugs,Steam,Packing KG,KG/KG,4.29,3.16,3.25,24.24%,-2.85%,Vapi
Jun-24,Rugs,Steam,Packing Pcs,KG/PCS,3.55,2.54,2.620459553,26.18%,-3.17%,Vapi
Jun-24,Rugs,Steam,Packing SQM,KG/SQM,7.88,5.6,5.77,26.78%,-3.04%,Vapi
Jun-24,Rugs,Steam,Rugs Dyeing,KG/KG,5.24,4.8,4.766280304,9.04%,0.70%,Vapi
Jun-24,Rugs,Power,Processing,KWH/SQM,0.29,0.42,0.36,-24.14%,14.29%,Vapi
Jun-24,Rugs,Power,Cut & Sew,KWH/SQM,0.13,0.14,0.126987495,2.32%,9.29%,Vapi
Jun-24,Rugs,Power,Coating,KWH/SQM,0.1,0.09,0.11005052,-10.05%,-22.28%,Vapi
Jun-24,Rugs,Air,Rugs Total,CFM,850,850,902.8666667,-6.22%,-6.22%,Vapi
Jun-24,Spinning,Power,Machine Production TFO,KWH,0.93,0.91,1.01,-8.60%,-10.99%,Vapi
Jun-24,Spinning,Power,Machine Production w/o TFO,KWH,2.17,2.35,2.25,-3.69%,4.26%,Vapi
Jun-24,Spinning,Air,Spinning Overall,CFM,3300,3300,4132.966667,-25.24%,-25.24%,Vapi
Jun-24,Boiler,Air,Boiler,CFM,550,550,507.0666667,7.81%,7.81%,Vapi
Jun-24,Towel,Water Utility,Weaving,Ltr/Kg,1.3,1.3,0.86,33.85%,33.85%,Anjar
Jun-24,Towel,Water Utility,Sizing,Ltr/Kg,0.9,0.9,1.03,-14.44%,-14.44%,Anjar
Jun-24,Towel,Water Utility,Processing,Ltr/Kg,33.5,33.5,32.68,2.45%,2.45%,Anjar
Jun-24,Towel,Water Utility,Cut & Sew,Ltr/Kg,1.1,1.1,0.61,44.55%,44.55%,Anjar
Jun-24,Towel,Water Utility,Common,Ltr/Kg,7.74,7.74,5.53,28.55%,28.55%,Anjar
Jun-24,Towel,Steam,Sizing,KG/KG,1.15,1.15,1.36,-18.26%,-18.26%,Anjar
Jun-24,Towel,Steam,Processing,KG/KG,5.96,6.32,6.16,-3.36%,2.53%,Anjar
Jun-24,Towel,Steam,"Canteen, DG & Line Losses",KG/KG,0.16,0.16,0.16,0.00%,0.00%,Anjar
Jun-24,Towel,Steam,TFH,KG/KG,1.7,1.7,1.9197,-12.92%,-12.92%,Anjar
Jun-24,Towel,Power,Weaving,KWH/KG,0.55,0.56,0.62,-12.73%,-10.71%,Anjar
Jun-24,Towel,Power,Processing,KWH/KG,0.39,0.39,0.4,-2.56%,-2.56%,Anjar
Jun-24,Towel,Power,Cut & Sew,KWH/KG,0.22,0.22,0.13,40.91%,40.91%,Anjar
Jun-24,Towel,Power,Common,KWH/KG,0.25,0.25,0.25,0.00%,0.00%,Anjar
Jun-24,Towel,Air,Weaving,CFM/Hrs,21320,21320,21941.972,-2.92%,-2.92%,Anjar
Jun-24,Towel,Air,Sizing/Warping,CFM/Hrs,385,385,482.2333333,-25.26%,-25.26%,Anjar
Jun-24,Towel,Air,Processing,CFM/Hrs,1580,1580,1581.466667,-0.09%,-0.09%,Anjar
Jun-24,Towel,Air,Cut & Sew-Chillers/ H Plant,CFM/Hrs,1500,1500,1603.533333,-6.90%,-6.90%,Anjar
Jun-24,Bedsheet,Water Utility,Weaving,Ltr/Kg,6.15,6.15,3.8,38.21%,38.21%,Anjar
Jun-24,Bedsheet,Water Utility,Sizing,Ltr/Kg,2.1,2.1,1.87,10.95%,10.95%,Anjar
Jun-24,Bedsheet,Water Utility,Process,Ltr/Kg,40.04,40.04,36.75317526,8.21%,8.21%,Anjar
Jun-24,Bedsheet,Water Utility,Cut & Sew,Ltr/Kg,2.5,2.5,1.424442757,43.02%,43.02%,Anjar
Jun-24,Bedsheet,Water Utility,Common,Ltr/Kg,14,14,12.95601989,7.46%,7.46%,Anjar
Jun-24,Bedsheet,Steam,Weaving,KG/KG,0.13,0.13,20.24,-15469.23%,-15469.23%,Anjar
Jun-24,Bedsheet,Steam,Sizing,KG/KG,1.9,1.9,1.83,3.68%,3.68%,Anjar
Jun-24,Bedsheet,Steam,Processing,KG/KG,8.46,8.75,8.62,-1.89%,1.49%,Anjar
Jun-24,Bedsheet,Steam,Cut & Sew,KG/KG,0.05,0.05,0.04,20.00%,20.00%,Anjar
Jun-24,Bedsheet,Steam,Canteen and Line Loss,KG/KG,0.3,0.3,0.28,6.67%,6.67%,Anjar
Jun-24,Bedsheet,Steam,TFH,KG/KG,1.7,1.7,1.581589009,6.97%,6.97%,Anjar
Jun-24,Bedsheet,Power,Weaving,KWH/Mtr,0.79,0.79,0.782641368,0.93%,0.93%,Anjar
Jun-24,Bedsheet,Power,Processing,KWH/Mtr,0.2,0.2,0.19,5.00%,5.00%,Anjar
Jun-24,Bedsheet,Power,Cut & Sew,KWH/Mtr,0.33,0.33,0.13,60.61%,60.61%,Anjar
Jun-24,Bedsheet,Power,Common,KWH/Mtr,0.24,0.24,0.23,4.17%,4.17%,Anjar
Jun-24,Bedsheet,Air,Weaving,CFM/Hrs,27087,27087,28851.82933,-6.52%,-6.52%,Anjar
Jun-24,Bedsheet,Air,Sizing/Warping,CFM/Hrs,395,395,366.6,7.19%,7.19%,Anjar
Jun-24,Bedsheet,Air,Process,CFM/Hrs,1620,1620,1760.333333,-8.66%,-8.66%,Anjar
Jun-24,Bedsheet,Air,Cut & Sew-Chillers/ H Plant,CFM/Hrs,1200,1200,831.9,30.68%,30.68%,Anjar
Jun-24,Spinning,Steam,Xorella (Conditioning),KG/KG,0.15,0.15,0.15,0.00%,0.00%,Anjar
Jun-24,Spinning,Power,Open End,KWH/KG,1.27,1.27,1.26,0.79%,0.79%,Anjar
Jun-24,Spinning,Power,Unit I & II,KWH/KG,5,5,4.92,1.60%,1.60%,Anjar
Jun-24,Spinning,Power,Unit III,KWH/KG,11.61,11.61,11.4,1.81%,1.81%,Anjar
Jun-24,Spinning,Air,Open End,CFM/Hrs,270,270,346.2666667,-28.25%,-28.25%,Anjar
Jun-24,Spinning,Air,Unit I & II,CFM/Hrs,3100,3100,2786.366667,10.12%,10.12%,Anjar
Jun-24,Spinning,Air,Unit III,CFM/Hrs,3680,3680,3841.8,-4.40%,-4.40%,Anjar
Jun-24,Others,Air,Power Plant,,0,0,,0.00%,0.00%,Anjar
Jun-24,Others,Air,"12 MW, SMS, WML & WSL",,0,0,,0.00%,0.00%,Anjar
Jun-24,Others,Air,Advanced Textile,,0,0,,0.00%,0.00%,Anjar
Jul-24,Towel,Water Utility,Weaving,Ltr/Kg,1.3,0,0.64,50.77%,0.00%,Anjar
Jul-24,Towel,Water Utility,Sizing,Ltr/Kg,0.9,0,1.29,-43.33%,0.00%,Anjar
Jul-24,Towel,Water Utility,Processing,Ltr/Kg,33.5,0,36.05,-7.61%,0.00%,Anjar
Jul-24,Towel,Water Utility,Cut & Sew,Ltr/Kg,1.1,0,0.82,25.45%,0.00%,Anjar
Jul-24,Towel,Water Utility,Common,Ltr/Kg,7.74,0,6.26,19.12%,0.00%,Anjar
Jul-24,Towel,Steam,Sizing,KG/KG,1.15,0,1.33,-15.65%,0.00%,Anjar
Jul-24,Towel,Steam,Processing,KG/KG,5.96,0,6.59,-10.57%,0.00%,Anjar
Jul-24,Towel,Steam,"Canteen, DG & Line Losses",KG/KG,0.16,0,0.18,-12.50%,0.00%,Anjar
Jul-24,Towel,Steam,TFH,KG/KG,1.71,1.71,1.9347,-13.14%,-13.14%,Anjar
Jul-24,Towel,Power,Weaving,KWH/KG,0.57,0,0.65,-14.04%,0.00%,Anjar
Jul-24,Towel,Power,Processing,KWH/KG,0.39,0,0.43,-10.26%,0.00%,Anjar
Jul-24,Towel,Power,Cut & Sew,KWH/KG,0.28,0,0.21,25.00%,0.00%,Anjar
Jul-24,Towel,Power,Common,KWH/KG,0.28,0,0.27,3.57%,0.00%,Anjar
Jul-24,Towel,Air,Weaving,CFM/Hrs,21320,21320,22322.58677,-4.70%,-4.70%,Anjar
Jul-24,Towel,Air,Sizing/Warping,CFM/Hrs,385,385,462.9032258,-20.23%,-20.23%,Anjar
Jul-24,Towel,Air,Processing,CFM/Hrs,1580,1580,1569.064516,0.69%,0.69%,Anjar
Jul-24,Towel,Air,Cut & Sew-Chillers/ H Plant,CFM/Hrs,1500,1500,1641.096774,-9.41%,-9.41%,Anjar
Jul-24,Bedsheet,Water Utility,Weaving,Ltr/Kg,6.15,0,3.79,38.37%,0.00%,Anjar
Jul-24,Bedsheet,Water Utility,Sizing,Ltr/Kg,2.1,0,1.83,12.86%,0.00%,Anjar
Jul-24,Bedsheet,Water Utility,Process,Ltr/Kg,40.04,0,40.42904764,-0.97%,0.00%,Anjar
Jul-24,Bedsheet,Water Utility,Cut & Sew,Ltr/Kg,2.5,0,1.298164407,48.07%,0.00%,Anjar
Jul-24,Bedsheet,Water Utility,Common,Ltr/Kg,14,0,9.93258733,29.05%,0.00%,Anjar
Jul-24,Bedsheet,Steam,Weaving,KG/KG,0.13,0,20.75,-15861.54%,0.00%,Anjar
Jul-24,Bedsheet,Steam,Sizing,KG/KG,1.9,0,1.85,2.63%,0.00%,Anjar
Jul-24,Bedsheet,Steam,Processing,KG/KG,8.46,0,8.59,-1.54%,0.00%,Anjar
Jul-24,Bedsheet,Steam,Cut & Sew,KG/KG,0.05,0,0.03,40.00%,0.00%,Anjar
Jul-24,Bedsheet,Steam,Canteen and Line Loss,KG/KG,0.3,0,0.23,23.33%,0.00%,Anjar
Jul-24,Bedsheet,Steam,TFH,KG/KG,1.71,1.71,1.655251142,3.20%,3.20%,Anjar
Jul-24,Bedsheet,Power,Weaving,KWH/Mtr,0.79,0,0.820160475,-3.82%,0.00%,Anjar
Jul-24,Bedsheet,Power,Processing,KWH/Mtr,0.2,0,0.19,5.00%,0.00%,Anjar
Jul-24,Bedsheet,Power,Cut & Sew,KWH/Mtr,0.33,0.33,0.15,54.55%,54.55%,Anjar
Jul-24,Bedsheet,Power,Common,KWH/Mtr,0.23,0.23,0.18,21.74%,21.74%,Anjar
Jul-24,Bedsheet,Air,Weaving,CFM/Hrs,27087,27087,28513.1529,-5.27%,-5.27%,Anjar
Jul-24,Bedsheet,Air,Sizing/Warping,CFM/Hrs,395,395,369.9354839,6.35%,6.35%,Anjar
Jul-24,Bedsheet,Air,Process,CFM/Hrs,1620,1620,1755.225806,-8.35%,-8.35%,Anjar
Jul-24,Bedsheet,Air,Cut & Sew-Chillers/ H Plant,CFM/Hrs,1200,1200,781.2580645,34.90%,34.90%,Anjar
Jul-24,Spinning,Steam,Xorella (Conditioning),KG/KG,0.15,0.15,0.17,-13.33%,-13.33%,Anjar
Jul-24,Spinning,Power,Open End,KWH/KG,1.28,1.28,1.31,-2.34%,-2.34%,Anjar
Jul-24,Spinning,Power,Unit I & II,KWH/KG,5.28,5.28,6.13,-16.10%,-16.10%,Anjar
Jul-24,Spinning,Power,Unit III,KWH/KG,11.68,11.68,14.4,-23.29%,-23.29%,Anjar
Jul-24,Spinning,Air,Open End,CFM/Hrs,270,270,382.9354839,-41.83%,-41.83%,Anjar
Jul-24,Spinning,Air,Unit I & II,CFM/Hrs,3100,3100,2822.322581,8.96%,8.96%,Anjar
Jul-24,Spinning,Air,Unit III,CFM/Hrs,3680,3680,3867.354839,-5.09%,-5.09%,Anjar
Jul-24,Others,Air,Power Plant,,0,0,,0.00%,0.00%,Anjar
Jul-24,Others,Air,"12 MW, SMS, WML & WSL",,0,0,,0.00%,0.00%,Anjar
Jul-24,Others,Air,Advanced Textile,,0,0,,0.00%,0.00%,Anjar
Jul-24,Towel,Water Utility,Processing Fabric Dyeing,Ltr/Kg,53.5,52.56,36.83,31.16%,29.93%,Vapi
Jul-24,Towel,Water Utility,Processing Yarn Dyeing,Ltr/Kg,53,52.56,66.08992078,-24.70%,-25.74%,Vapi
Jul-24,Towel,Steam,Sizing,KG/KG,1.77,1.77,1.977743777,-11.74%,-11.74%,Vapi
Jul-24,Towel,Steam,Processing Fabric Dyeing,KG/KG,5.5,6.21,6.07,-10.36%,2.25%,Vapi
Jul-24,Towel,Steam,Processing Yarn Dyeing,KG/KG,4,4,4.25,-6.25%,-6.25%,Vapi
Jul-24,Towel,Power,Weaving,KWH/KG,1.17,1.2,1.167207775,0.24%,2.73%,Vapi
Jul-24,Towel,Power,Weaving GIDC,KWH/KG,0.87,0.89,0.841091688,3.32%,5.50%,Vapi
Jul-24,Towel,Power,Processing,KWH/KG,0.94,0.94,1.02,-8.51%,-8.51%,Vapi
Jul-24,Towel,Air,Weaving,CFM,8900,8900,9321.129032,-4.73%,-4.73%,Vapi
Jul-24,Towel,Air,Processing,CFM,1000,1000,1038,-3.80%,-3.80%,Vapi
Jul-24,Towel,Air,Cut & Sew-Chillers/ H Plant,CFM,350,350,371.2258065,-6.06%,-6.06%,Vapi
Jul-24,Rugs,Water Utility,Rugs Dyeing,Ltr/Kg,65.88,56.4,37.70967742,42.76%,33.14%,Vapi
Jul-24,Rugs,Steam,Packing KG,KG/KG,4.29,3.16,4.01,6.53%,-26.90%,Vapi
Jul-24,Rugs,Steam,Packing Pcs,KG/PCS,3.55,2.54,3.133370912,11.74%,-23.36%,Vapi
Jul-24,Rugs,Steam,Packing SQM,KG/SQM,7.88,5.6,7.09,10.03%,-26.61%,Vapi
Jul-24,Rugs,Steam,Rugs Dyeing,KG/KG,5.24,4.8,4.979287518,4.98%,-3.74%,Vapi
Jul-24,Rugs,Power,Processing,KWH/SQM,0.32,0.37,0.42,-31.25%,-13.51%,Vapi
Jul-24,Rugs,Power,Cut & Sew,KWH/SQM,0.14,0.13,0.125023008,10.70%,3.83%,Vapi
Jul-24,Rugs,Power,Coating,KWH/SQM,0.11,0.1,0.099412552,9.62%,0.59%,Vapi
Jul-24,Rugs,Air,Rugs Total,CFM,850,850,892.2258065,-4.97%,-4.97%,Vapi
Jul-24,Spinning,Power,Machine Production TFO,KWH,0.93,1.01,0.99,-6.45%,1.98%,Vapi
Jul-24,Spinning,Power,Machine Production w/o TFO,KWH,2.17,2.38,2.34,-7.83%,1.68%,Vapi
Jul-24,Spinning,Air,Spinning Overall,CFM,3300,3300,3923.580645,-18.90%,-18.90%,Vapi
Jul-24,Boiler,Air,Boiler,CFM,550,550,517.8387097,5.85%,5.85%,Vapi
Aug-24,Towel,Water Utility,Weaving,Ltr/Kg,1.3,0,0.91,30.00%,0.00%,Anjar
Aug-24,Towel,Water Utility,Sizing,Ltr/Kg,0.9,0,1.16,-28.89%,0.00%,Anjar
Aug-24,Towel,Water Utility,Processing,Ltr/Kg,33.5,0,32.45,3.13%,0.00%,Anjar
Aug-24,Towel,Water Utility,Cut & Sew,Ltr/Kg,1.1,0,0.73,33.64%,0.00%,Anjar
Aug-24,Towel,Water Utility,Common,Ltr/Kg,7.74,0,5.27,31.91%,0.00%,Anjar
Aug-24,Towel,Steam,Sizing,KG/KG,1.15,0,1.36,-18.26%,0.00%,Anjar
Aug-24,Towel,Steam,Processing,KG/KG,5.96,0,6.3,-5.70%,0.00%,Anjar
Aug-24,Towel,Steam,"Canteen, DG & Line Losses",KG/KG,0.16,0,0.16,0.00%,0.00%,Anjar
Aug-24,Towel,Steam,TFH,KG/KG,1.7,1.7,1.866,-9.76%,-9.76%,Anjar
Aug-24,Towel,Power,Weaving,KWH/KG,0.56,0,0.65,-16.07%,0.00%,Anjar
Aug-24,Towel,Power,Processing,KWH/KG,0.39,0,0.39,0.00%,0.00%,Anjar
Aug-24,Towel,Power,Cut & Sew,KWH/KG,0.18,0,0.18,0.00%,0.00%,Anjar
Aug-24,Towel,Power,Common,KWH/KG,0.26,0,0.24,7.69%,0.00%,Anjar
Aug-24,Towel,Air,Weaving,CFM/Hrs,21320,21320,23592.71548,-10.66%,-10.66%,Anjar
Aug-24,Towel,Air,Sizing/Warping,CFM/Hrs,385,385,454.9354839,-18.17%,-18.17%,Anjar
Aug-24,Towel,Air,Processing,CFM/Hrs,1580,1580,1677.419355,-6.17%,-6.17%,Anjar
Aug-24,Towel,Air,Cut & Sew-Chillers/ H Plant,CFM/Hrs,1500,1500,1732.548387,-15.50%,-15.50%,Anjar
Aug-24,Bedsheet,Water Utility,Weaving,Ltr/Kg,6.15,0,3.84,37.56%,0.00%,Anjar
Aug-24,Bedsheet,Water Utility,Sizing,Ltr/Kg,2.1,0,1.91,9.05%,0.00%,Anjar
Aug-24,Bedsheet,Water Utility,Process,Ltr/Kg,40.04,0,38.94616169,2.73%,0.00%,Anjar
Aug-24,Bedsheet,Water Utility,Cut & Sew,Ltr/Kg,2.5,0,1.248141272,50.07%,0.00%,Anjar
Aug-24,Bedsheet,Water Utility,Common,Ltr/Kg,14,0,8.968060533,35.94%,0.00%,Anjar
Aug-24,Bedsheet,Steam,Weaving,KG/KG,0.13,0,24.11,-18446.15%,0.00%,Anjar
