Month-Year,Product,Utility,Particulars,UOM,Bplan,Target,Actual,Bplan  Var %,Target  Var %,Plant
Oct-24,Towel,Steam,Sizing,KG/KG,1.77,1.77,2.047824348,-15.70%,-15.70%,Vapi
Oct-24,Towel,Steam,Processing Fabric Dyeing,KG/KG,5.5,5.94,5.86,-6.55%,1.35%,Vapi
Oct-24,Towel,Steam,Processing Yarn Dyeing,KG/KG,4,4,4.67,-16.75%,-16.75%,Vapi
Oct-24,Towel,Power,Weaving,KWH/KG,1.17,1.19,1.18057126,-0.90%,0.79%,Vapi
Oct-24,Towel,Power,Weaving GIDC,KWH/KG,0.87,1.05,1.204495059,-38.45%,-14.71%,Vapi
Oct-24,Towel,Power,Processing,KWH/KG,0.94,0.98,1.16,-23.40%,-18.37%,Vapi
Oct-24,Towel,Air,Weaving,CFM,8900,8900,9125.827586,-2.54%,-2.54%,Vapi
Oct-24,Towel,Air,Processing,CFM,1000,1000,1239.655172,-23.97%,-23.97%,Vapi
Oct-24,Towel,Air,Cut & Sew-Chillers/ H Plant,CFM,350,350,426.9655172,-21.99%,-21.99%,Vapi
Oct-24,Rugs,Water Utility,Rugs Dyeing,Ltr/Kg,65.88,59.04,32.02633333,51.39%,45.75%,Vapi
Oct-24,Rugs,Steam,Packing KG,KG/KG,4.29,3.33,2.93,31.70%,12.01%,Vapi
Oct-24,Rugs,Steam,Packing Pcs,KG/PCS,3.55,2.68,2.363030383,33.44%,11.83%,Vapi
Oct-24,Rugs,Steam,Packing SQM,KG/SQM,7.88,6.26,5.52,29.95%,11.82%,Vapi
Oct-24,Rugs,Steam,Rugs Dyeing,KG/KG,5.24,4.58,4.008339978,23.50%,12.48%,Vapi
Oct-24,Rugs,Power,Processing,KWH/SQM,0.3,0.37,0.41,-36.67%,-10.81%,Vapi
Oct-24,Rugs,Power,Cut & Sew,KWH/SQM,0.13,0.14,0.128587454,1.09%,8.15%,Vapi
Oct-24,Rugs,Power,Coating,KWH/SQM,0.1,0.1,0.121862384,-21.86%,-21.86%,Vapi
Oct-24,Rugs,Air,Rugs Total,CFM,850,850,974.1333333,-14.60%,-14.60%,Vapi
Oct-24,Spinning,Power,Machine Production TFO,KWH,0.93,1.12,1.06,-13.98%,5.36%,Vapi
Oct-24,Spinning,Power,Machine Production w/o TFO,KWH,2.02,2.22,2.2,-8.91%,0.90%,Vapi
Oct-24,Spinning,Air,Spinning Overall,CFM,3300,3300,4141.37931,-25.50%,-25.50%,Vapi
Oct-24,Boiler,Air,Boiler,CFM,550,550,546.8965517,0.56%,0.56%,Vapi
Nov-24,Towel,Water Utility,Weaving,Ltr/Kg,1.3,1.3,1.5,-15.38%,-15.38%,Anjar
Nov-24,Towel,Water Utility,Sizing,Ltr/Kg,0.9,0.9,1.01,-12.22%,-12.22%,Anjar
Nov-24,Towel,Water Utility,Processing,Ltr/Kg,33.5,33.5,37.15,-10.90%,-10.90%,Anjar
Nov-24,Towel,Water Utility,Cut & Sew,Ltr/Kg,1.1,1.1,0.43,60.91%,60.91%,Anjar
Nov-24,Towel,Water Utility,Common,Ltr/Kg,7.74,7.74,7.09,8.40%,8.40%,Anjar
Nov-24,Towel,Steam,Sizing,KG/KG,1.15,1.16,1.39,-20.87%,-19.83%,Anjar
Nov-24,Towel,Steam,Processing,KG/KG,5.96,6.24,7.09,-18.96%,-13.62%,Anjar
Nov-24,Towel,Steam,"Canteen, DG & Line Losses",KG/KG,0.16,0.16,0.22,-37.50%,-37.50%,Anjar
Nov-24,Towel,Steam,TFH,KG/KG,1.98,1.98,2.1641,-9.30%,-9.30%,Anjar
Nov-24,Towel,Power,Weaving,KWH/KG,0.57,0.61,0.68,-19.30%,-11.48%,Anjar
Nov-24,Towel,Power,Processing,KWH/KG,0.39,0.4,0.49,-25.64%,-22.50%,Anjar
Nov-24,Towel,Power,Cut & Sew,KWH/KG,0.07,0.07,0.1,-42.86%,-42.86%,Anjar
Nov-24,Towel,Power,Common,KWH/KG,0.25,0.25,0.36,-44.00%,-44.00%,Anjar
Nov-24,Towel,Air,Weaving,CFM/Hrs,25064,25064,22984.39724,8.30%,8.30%,Anjar
Nov-24,Towel,Air,Sizing/Warping,CFM/Hrs,385,385,456.3793103,-18.54%,-18.54%,Anjar
Nov-24,Towel,Air,Processing,CFM/Hrs,1580,1580,1480.172414,6.32%,6.32%,Anjar
Nov-24,Towel,Air,Cut & Sew-Chillers/ H Plant,CFM/Hrs,1500,1500,1670.551724,-11.37%,-11.37%,Anjar
Nov-24,Bedsheet,Water Utility,Weaving,Ltr/Kg,6.15,6.15,4.86,20.98%,20.98%,Anjar
Nov-24,Bedsheet,Water Utility,Sizing,Ltr/Kg,2.1,2.1,2.07,1.43%,1.43%,Anjar
Nov-24,Bedsheet,Water Utility,Process,Ltr/Kg,40.04,46.39,42.24581349,-5.51%,8.93%,Anjar
Nov-24,Bedsheet,Water Utility,Cut & Sew,Ltr/Kg,2.5,2.5,0.680723749,72.77%,72.77%,Anjar
Nov-24,Bedsheet,Water Utility,Common,Ltr/Kg,14,14,12.33128486,11.92%,11.92%,Anjar
Nov-24,Bedsheet,Steam,Sizing,KG/KG,1.9,1.9,1.99,-4.74%,-4.74%,Anjar
Nov-24,Bedsheet,Steam,Processing,KG/KG,8.46,9.06,9.8,-15.84%,-8.17%,Anjar
Nov-24,Bedsheet,Steam,Cut & Sew,KG/KG,0.05,0.05,0.05,0.00%,0.00%,Anjar
Nov-24,Bedsheet,Steam,Canteen and Line Loss,KG/KG,0.3,0.3,0.33,-10.00%,-10.00%,Anjar
Nov-24,Bedsheet,Steam,TFH,KG/KG,2.21,2.21,1.822247072,17.55%,17.55%,Anjar
Nov-24,Bedsheet,Power,Weaving,KWH/Mtr,0.74,0.82,0.755232287,-2.06%,7.90%,Anjar
Nov-24,Bedsheet,Power,Processing,KWH/Mtr,0.2,0.2,0.19,5.00%,5.00%,Anjar
Nov-24,Bedsheet,Power,Cut & Sew,KWH/Mtr,0.11,0.11,0.06,45.45%,45.45%,Anjar
Nov-24,Bedsheet,Air,Weaving,CFM/Hrs,27087,27087,23163.07793,14.49%,14.49%,Anjar
Nov-24,Bedsheet,Air,Sizing/Warping,CFM/Hrs,395,395,267.9655172,32.16%,32.16%,Anjar
Nov-24,Bedsheet,Air,Process,CFM/Hrs,1620,1620,1716.206897,-5.94%,-5.94%,Anjar
Nov-24,Bedsheet,Air,Cut & Sew-Chillers/ H Plant,CFM/Hrs,1200,1200,679.137931,43.41%,43.41%,Anjar
Nov-24,Spinning,Steam,"Canteen, DG & Line Losses",,0.12,0.12,0.08,33.33%,33.33%,Anjar
Nov-24,Spinning,Steam,Xorella (Conditioning),KG/KG,0.15,0.15,0.15,0.00%,0.00%,Anjar
Nov-24,Spinning,Power,Open End,KWH/KG,1.19,1.26,1,15.97%,20.63%,Anjar
Nov-24,Spinning,Power,Unit I & II,KWH/KG,4.98,4.98,4.12,17.27%,17.27%,Anjar
Nov-24,Spinning,Power,Unit III,KWH/KG,10.68,11.24,8.97,16.01%,20.20%,Anjar
Nov-24,Spinning,Air,Open End,CFM/Hrs,270,270,306.2142857,-13.41%,-13.41%,Anjar
Nov-24,Spinning,Air,Unit I & II,CFM/Hrs,3100,3100,2795.142857,9.83%,9.83%,Anjar
Nov-24,Spinning,Air,Unit III,CFM/Hrs,3680,3680,4084.285714,-10.99%,-10.99%,Anjar
Nov-24,Others,Air,Power Plant,,0,0,,0.00%,0.00%,Anjar
Nov-24,Others,Air,"12 MW, SMS, WML & WSL",,0,0,,0.00%,0.00%,Anjar
Nov-24,Others,Air,Advanced Textile,,0,0,,0.00%,0.00%,Anjar
Dec-24,Towel,Water Utility,Weaving,Ltr/Kg,1.3,1.3,1.08,16.92%,16.92%,Anjar
Dec-24,Towel,Water Utility,Sizing,Ltr/Kg,0.9,0.9,1,-11.11%,-11.11%,Anjar
Dec-24,Towel,Water Utility,Processing,Ltr/Kg,33.5,33.5,36.21,-8.09%,-8.09%,Anjar
Dec-24,Towel,Water Utility,Cut & Sew,Ltr/Kg,1.1,1.1,0.28,74.55%,74.55%,Anjar
Dec-24,Towel,Water Utility,Common,Ltr/Kg,7.74,7.74,6.32,18.35%,18.35%,Anjar
Dec-24,Towel,Steam,Sizing,KG/KG,1.15,1.16,1.78,-54.78%,-53.45%,Anjar
Dec-24,Towel,Steam,Processing,KG/KG,5.96,6.21,6.77,-13.59%,-9.02%,Anjar
Dec-24,Towel,Steam,"Canteen, DG & Line Losses",KG/KG,0.16,0.16,0.21,-31.25%,-31.25%,Anjar
Dec-24,Towel,Steam,TFH,KG/KG,1.98,1.98,2.0282,-2.43%,-2.43%,Anjar
Dec-24,Towel,Power,Weaving,KWH/KG,0.57,0.57,0.49,14.04%,14.04%,Anjar
Dec-24,Towel,Power,Processing,KWH/KG,0.4,0.4,0.46,-15.00%,-15.00%,Anjar
Dec-24,Towel,Power,Cut & Sew,KWH/KG,0.07,0.07,0.08,-14.29%,-14.29%,Anjar
Dec-24,Towel,Power,Common,KWH/KG,0.25,0.25,0.31,-24.00%,-24.00%,Anjar
Dec-24,Towel,Air,Weaving,CFM/Hrs,25064,25064,27070.45387,-8.01%,-8.01%,Anjar
Dec-24,Towel,Air,Sizing/Warping,CFM/Hrs,385,385,489.9354839,-27.26%,-27.26%,Anjar
Dec-24,Towel,Air,Processing,CFM/Hrs,1580,1580,1637.580645,-3.64%,-3.64%,Anjar
Dec-24,Towel,Air,Cut & Sew-Chillers/ H Plant,CFM/Hrs,1500,1500,1755.83871,-17.06%,-17.06%,Anjar
Dec-24,Bedsheet,Water Utility,Weaving,Ltr/Kg,6.15,6.15,4.73,23.09%,23.09%,Anjar
Dec-24,Bedsheet,Water Utility,Sizing,Ltr/Kg,2.1,2.1,2.14,-1.90%,-1.90%,Anjar
Dec-24,Bedsheet,Water Utility,Process,Ltr/Kg,40.04,40.04,44.76204911,-11.79%,-11.79%,Anjar
Dec-24,Bedsheet,Water Utility,Cut & Sew,Ltr/Kg,2.5,2.5,0.381837644,84.73%,84.73%,Anjar
Dec-24,Bedsheet,Water Utility,Common,Ltr/Kg,14,14,8.658863184,38.15%,38.15%,Anjar
Dec-24,Bedsheet,Steam,Weaving,KG/KG,0.13,0.13,1.45,-1015.38%,-1015.38%,Anjar
Dec-24,Bedsheet,Steam,Sizing,KG/KG,1.9,1.9,2.05,-7.89%,-7.89%,Anjar
Dec-24,Bedsheet,Steam,Processing,KG/KG,8.46,9.69,10.31,-21.87%,-6.40%,Anjar
Dec-24,Bedsheet,Steam,Cut & Sew,KG/KG,0.05,0.05,0.03,40.00%,40.00%,Anjar
Dec-24,Bedsheet,Steam,Canteen and Line Loss,KG/KG,0.3,0.3,0.23,23.33%,23.33%,Anjar
Dec-24,Bedsheet,Steam,TFH,KG/KG,2.21,2.21,1.906717472,13.72%,13.72%,Anjar
Dec-24,Bedsheet,Power,Weaving,KWH/Mtr,0.73,0.73,0.647040856,11.36%,11.36%,Anjar
Dec-24,Bedsheet,Power,Processing,KWH/Mtr,0.19,0.19,0.19,0.00%,0.00%,Anjar
Dec-24,Bedsheet,Power,Cut & Sew,KWH/Mtr,0.12,0.12,0.04,66.67%,66.67%,Anjar
Dec-24,Bedsheet,Power,Common,KWH/Mtr,0.23,0.23,0.14,39.13%,39.13%,Anjar
Dec-24,Bedsheet,Air,Weaving,CFM/Hrs,27087,27087,24488.74258,9.59%,9.59%,Anjar
Dec-24,Bedsheet,Air,Sizing/Warping,CFM/Hrs,395,395,319.2580645,19.18%,19.18%,Anjar
Dec-24,Bedsheet,Air,Process,CFM/Hrs,1620,1620,1722.451613,-6.32%,-6.32%,Anjar
Dec-24,Bedsheet,Air,Cut & Sew-Chillers/ H Plant,CFM/Hrs,1200,1200,687.2903226,42.73%,42.73%,Anjar
Dec-24,Spinning,Air,Open End,CFM/Hrs,270,270,339.8709677,-25.88%,-25.88%,Anjar
Dec-24,Spinning,Air,Unit I & II,CFM/Hrs,3100,3100,2908.935484,6.16%,6.16%,Anjar
Dec-24,Spinning,Air,Unit III,CFM/Hrs,3680,3680,4054.387097,-10.17%,-10.17%,Anjar
Dec-24,Spinning,Air,Spinning Overall,CFM,3300,3300,3846.612903,-16.56%,-16.56%,Vapi
Dec-24,Spinning,Power,Open End,KWH/KG,1.18,1.18,1.16,1.69%,1.69%,Anjar
Dec-24,Spinning,Power,Unit I & II,KWH/KG,4.98,4.64,4.73,5.02%,-1.94%,Anjar
Dec-24,Spinning,Power,Unit III,KWH/KG,10.62,11.29,11.06,-4.14%,2.04%,Anjar
Dec-24,Spinning,Power,Machine Production TFO,KWH,0.93,1.14,1.06,-13.98%,7.02%,Vapi
Dec-24,Others,Air,Power Plant,,0,0,,0.00%,0.00%,Anjar
Dec-24,Others,Air,"12 MW, SMS, WML & WSL",,0,0,,0.00%,0.00%,Anjar
Dec-24,Others,Air,Advanced Textile,,0,0,,0.00%,0.00%,Anjar
Nov-24,Towel,Water Utility,Processing Fabric Dyeing,Ltr/Kg,53.5,53.35,41.54,22.36%,22.14%,Vapi
Nov-24,Towel,Water Utility,Processing Yarn Dyeing,Ltr/Kg,53,53.35,66.47572089,-25.43%,-24.60%,Vapi
Nov-24,Towel,Steam,Sizing,KG/KG,1.77,1.77,2.022497258,-14.27%,-14.27%,Vapi
Nov-24,Towel,Steam,Processing Fabric Dyeing,KG/KG,5.5,5.48,5.47,0.55%,0.18%,Vapi
Nov-24,Towel,Steam,Processing Yarn Dyeing,KG/KG,4,4,4.98,-24.50%,-24.50%,Vapi
Nov-24,Towel,Power,Weaving,KWH/KG,1.17,1.19,1.249362201,-6.78%,-4.99%,Vapi
Nov-24,Towel,Power,Weaving GIDC,KWH/KG,0.87,1.06,1.096594993,-26.05%,-3.45%,Vapi
Nov-24,Towel,Power,Processing,KWH/KG,0.94,0.96,1.28,-36.17%,-33.33%,Vapi
Nov-24,Towel,Air,Weaving,CFM,8900,8900,8752,1.66%,1.66%,Vapi
Nov-24,Towel,Air,Processing,CFM,1000,1000,1198.137931,-19.81%,-19.81%,Vapi
Nov-24,Towel,Air,Cut & Sew-Chillers/ H Plant,CFM,350,350,376.1724138,-7.48%,-7.48%,Vapi
Nov-24,Rugs,Water Utility,Rugs Dyeing,Ltr/Kg,65.88,54.2,39.3664,40.25%,27.37%,Vapi
Nov-24,Rugs,Steam,Packing KG,KG/KG,4.29,3.13,3.42,20.28%,-9.27%,Vapi
Nov-24,Rugs,Steam,Packing Pcs,KG/PCS,3.55,2.41,2.623089356,26.11%,-8.84%,Vapi
Nov-24,Rugs,Steam,Packing SQM,KG/SQM,7.88,5.74,6.26,20.56%,-9.06%,Vapi
Nov-24,Rugs,Steam,Rugs Dyeing,KG/KG,5.24,4.39,4.709319147,10.13%,-7.27%,Vapi
Nov-24,Rugs,Power,Processing,KWH/SQM,0.29,0.39,0.41,-41.38%,-5.13%,Vapi
Nov-24,Rugs,Power,Cut & Sew,KWH/SQM,0.13,0.14,0.087715675,32.53%,37.35%,Vapi
Nov-24,Rugs,Power,Coating,KWH/SQM,0.1,0.1,0.151852484,-51.85%,-51.85%,Vapi
Nov-24,Rugs,Air,Rugs Total,CFM,850,850,897.72,-5.61%,-5.61%,Vapi
Nov-24,Spinning,Power,Machine Production TFO,KWH,0.93,1.11,1.2,-29.03%,-8.11%,Vapi
Nov-24,Spinning,Power,Machine Production w/o TFO,KWH,2.02,2.38,2.36,-16.83%,0.84%,Vapi
Nov-24,Spinning,Air,Spinning Overall,CFM,3300,3300,3492.793103,-5.84%,-5.84%,Vapi
Nov-24,Boiler,Air,Boiler,CFM,550,550,512.2068966,6.87%,6.87%,Vapi
Dec-24,Towel,Water Utility,Processing Fabric Dyeing,Ltr/Kg,53.5,53.35,40.4,24.49%,24.27%,Vapi
Dec-24,Towel,Water Utility,Processing Yarn Dyeing,Ltr/Kg,53,53.35,60.48116088,-14.12%,-13.37%,Vapi
Dec-24,Towel,Steam,Sizing,KG/KG,1.77,1.77,2.319800435,-31.06%,-31.06%,Vapi
Dec-24,Towel,Steam,Processing Fabric Dyeing,KG/KG,5.5,5.5,5.45,0.91%,0.91%,Vapi
Dec-24,Towel,Steam,Processing Yarn Dyeing,KG/KG,4,4,5.24,-31.00%,-31.00%,Vapi
Dec-24,Towel,Power,Weaving,KWH/KG,1.17,1.19,1.14487224,2.15%,3.79%,Vapi
Dec-24,Towel,Power,Weaving GIDC,KWH/KG,0.87,1.06,1.024571569,-17.77%,3.34%,Vapi
Dec-24,Towel,Power,Processing,KWH/KG,0.94,0.91,1.43,-52.13%,-57.14%,Vapi
Dec-24,Towel,Air,Weaving,CFM,8900,8900,8746.806452,1.72%,1.72%,Vapi
Dec-24,Towel,Air,Processing,CFM,1000,1000,1247.419355,-24.74%,-24.74%,Vapi
Dec-24,Towel,Air,Cut & Sew-Chillers/ H Plant,CFM,350,350,374.1935484,-6.91%,-6.91%,Vapi
Dec-24,Rugs,Water Utility,Rugs Dyeing,Ltr/Kg,65.88,47.58,33.61964286,48.97%,29.34%,Vapi
Dec-24,Rugs,Steam,Packing KG,KG/KG,4.13,3.1,3.6,12.83%,-16.13%,Vapi
Dec-24,Rugs,Steam,Packing Pcs,KG/PCS,3.41,2.69,3.131090141,8.18%,-16.40%,Vapi
Dec-24,Rugs,Steam,Packing SQM,KG/SQM,7.58,6.15,7.16,5.54%,-16.42%,Vapi
Dec-24,Rugs,Steam,Rugs Dyeing,KG/KG,5.24,3.63,4.210307272,19.65%,-15.99%,Vapi
Dec-24,Rugs,Power,Processing,KWH/SQM,0.3,0.37,0.42,-40.00%,-13.51%,Vapi
Dec-24,Rugs,Power,Cut & Sew,KWH/SQM,0.14,0.14,0.030207588,78.42%,78.42%,Vapi
Dec-24,Rugs,Power,Coating,KWH/SQM,0.1,0.1,0.125410962,-25.41%,-25.41%,Vapi
Dec-24,Rugs,Air,Rugs Total,CFM,850,850,937.1785714,-10.26%,-10.26%,Vapi
Dec-24,Spinning,Power,Machine Production w/o TFO,KWH,2.02,2.18,2.17,-7.43%,0.46%,Vapi
Dec-24,Spinning,Steam,"Canteen, DG & Line Losses",,0.12,0.12,0.08,33.33%,33.33%,Anjar
Dec-24,Spinning,Steam,Xorella (Conditioning),KG/KG,0.15,0.15,0.15,0.00%,0.00%,Anjar
Dec-24,Boiler,Air,Boiler,CFM,550,550,557.516129,-1.37%,-1.37%,Vapi
